Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Canada,CAN,1991,12.717741,,0,0.0056750276,908.6118,239.31302,642.0107,305.49612,912.6727
Canada,CAN,1990,12.621976,,0,0.0056750276,874.33234,205.60634,637.60443,315.60306,962.80804
Canada,CAN,1989,11.099294,,,0.002957,858.85675,225.06271,657.7812,332.71832,1041.8708
Canada,CAN,1975,0,,,,598.7016,35.667564,461.5815,179.76491,1013.2218
Canada,CAN,1974,,,,,622.94006,41.70012,446.97964,184.77744,1027.002
Canada,CAN,1973,,,,,575.5898,43.28345,442.17908,181.8583,1009.6328
Canada,CAN,1972,,,,,537.10455,20.46132,415.7948,176.5783,924.3328
Canada,CAN,1971,,,,,480.39542,12.1076765,369.66525,187.1267,877.85034
Canada,CAN,1970,,,,,467.60938,2.942503,346.3385,196.87263,854.80023
Canada,CAN,1969,,,,,445.43494,1.5010456,313.4963,183.37021,801.5453
Canada,CAN,1968,,,,,402.7419,2.6048386,280.52078,189.92952,769.7931
Canada,CAN,1967,,,,,396.01184,0.43413973,251.91719,174.82216,723.1062
Canada,CAN,1966,,,,,387.36557,0.4880525,237.22487,176.45036,677.2622
Canada,CAN,1965,,,,,349.18494,0.36320192,216.68422,179.98587,642.81793
Germany,DEU,2009,98.6448,31.512589,18.753061,110.08871,53.1481,361.60092,844.30115,834.2924,1339.8384
Germany,DEU,1999,9.38508,1.335928,0.056182776,16.346235,61.16828,482.3889,836.1908,955.58167,1601.1072
Germany,DEU,2008,89.47387,31.71529,12.667742,116.29426,57.446014,401.1802,895.0063,931.8082,1399.0693
Germany,DEU,1998,8.676411,1.0260495,0.044354722,13.273924,56.18871,458.5424,838.65027,992.51227,1650.717
Germany,DEU,2007,78.58038,36.146408,8.870247,114.538445,59.860737,381.32123,886.36194,1008.28674,1319.4586
Germany,DEU,1997,7.332493,0.92359555,0.032526944,8.77043,56.040855,483.30823,831.03357,1016.81824,1648.9271
Germany,DEU,2006,60.442287,31.798754,6.4448414,89.129456,56.996304,456.95532,920.0689,983.3112,1457.237
Germany,DEU,1996,6.8408937,0.56465524,0.017741943,6.0086017,55.644623,458.57928,869.91,1049.4019,1658.878
Germany,DEU,1995,6.5408263,0.35948056,0.014784943,4.4354835,63.740856,437.26105,777.37354,1053.9393,1631.1295
Germany,DEU,1980,6.2766833,,,,56.387253,157.73462,610.7291,1643.761,1764.3438
Germany,DEU,1994,6.084341,0.28761888,0.011827944,2.6879032,59.716396,429.03223,712.92725,1111.4517,1631.9728
Germany,DEU,1981,5.7594953,,,,58.887474,185.95085,583.9387,1671.3124,1601.3843
Germany,DEU,1982,5.7421784,,,,58.365032,211.18488,541.86145,1631.4796,1513.8575
Germany,DEU,1989,5.58402,,,0.07688166,53.946507,458.74387,633.358,1640.0974,1468.3829
Germany,DEU,1993,5.3086357,0.051373333,0.008870971,1.7741935,56.064518,435.55853,700.1133,1145.7742,1646.8727
Germany,DEU,1985,5.248079,,,,51.453533,393.3959,581.4914,1735.9985,1522.7413
Germany,DEU,1984,5.244615,,,,54.64272,296.00104,588.30133,1745.2443,1477.557
Germany,DEU,1988,5.228453,,,0.023655916,59.374542,444.9791,618.8514,1614.3953,1562.9131
Germany,DEU,1986,5.093384,,,0.002957,54.91715,370.26447,579.8007,1640.3766,1604.2207
Germany,DEU,2005,46.945107,19.939837,3.7453449,79.52845,56.231716,447.98557,902.8105,945.3872,1460.0576
Germany,DEU,1992,4.9862227,0.05137111,0.005913972,0.8131719,55.103497,450.59735,661.6269,1214.498,1621.655
Germany,DEU,1983,4.9167547,,,,55.331234,221.50493,563.34344,1690.967,1482.448
Germany,DEU,1991,4.8234205,,0.002957,0.29569888,46.86828,418.2497,669.1928,1343.5953,1607.6146
Germany,DEU,1987,4.615446,,,0.005913972,60.153942,402.1468,628.617,1633.6312,1562.0078
Germany,DEU,1979,4.607365,,,,54.360363,147.73238,619.478,1606.7775,1949.9529
Germany,DEU,1990,4.580813,,0.002957,0.2099461,51.259407,432.721,636.8833,1529.6908,1537.2932
Germany,DEU,1978,4.2056203,,,,54.29693,124.49029,560.4233,1518.4825,1890.2781
Germany,DEU,1976,4.0786324,,,,40.944935,83.80033,492.28854,1560.839,1834.9529
Germany,DEU,2004,33.95065,10.79538,1.60508,74.9777,59.78195,461.9717,888.2105,988.11,1490.4901
Germany,DEU,1977,3.9793503,,,,51.990257,117.061676,522.7913,1499.0023,1812.3656
Germany,DEU,1975,3.5903046,,,,50.44364,68.491936,465.14346,1478.5684,1698.3301
Germany,DEU,1974,3.4356098,,,,52.155766,41.027626,440.76492,1632.1193,1748.5242
Germany,DEU,1973,3.3617256,,,,45.03335,34.350956,352.33054,1625.1296,1927.148
Germany,DEU,1972,3.252054,,,,39.049686,27.018816,273.22437,1619.8612,1807.8164
Germany,DEU,1971,3.1954863,,,,39.786846,17.637993,211.02472,1659.38,1712.5317
Germany,DEU,2003,28.56592,8.098877,0.90773886,55.354668,53.133743,459.35327,883.7197,1013.6199,1507.717
Germany,DEU,2002,20.430107,5.6522837,0.58376694,46.117584,69.17638,461.70624,873.12775,997.1488,1537.7799
Germany,DEU,1970,2.9368925,,,,51.846897,18.42682,159.73753,1733.998,1644.0702
Germany,DEU,2020,163.16112,39.271008,129.9908,346.93808,48.11887,162.255,871.07495,514.8666,1172.2838
Germany,DEU,2016,163.02213,30.844444,100.53882,213.95955,55.00241,217.41505,848.8475,889.935,1323.3187
Germany,DEU,2017,162.95374,31.388775,103.154274,281.27975,53.624996,194.91447,877.3847,835.9297,1352.0428
Germany,DEU,2018,162.59673,32.717903,117.25863,290.90036,46.810852,192.9632,858.5072,806.68994,1286.6825
Germany,DEU,2015,160.99455,30.778166,102.53761,217.1182,51.104538,237.191,769.5361,915.0558,1296.5422
Germany,DEU,2022,160.80095,34.682938,158.4799,326.6401,45.62486,86.81232,772.8999,647.22217,1183.1235
Germany,DEU,2021,160.69852,34.888226,129.10684,299.99414,51.436016,173.58215,917.31525,621.9345,1160.5002
Germany,DEU,2019,160.51074,32.160137,119.20131,331.8531,52.01037,189.8903,892.83026,624.2178,1294.7367
Germany,DEU,2001,16.599463,3.5970435,0.29377887,30.846773,68.15668,482.9241,874.48193,994.93604,1590.9633
Germany,DEU,2014,154.39673,32.831333,96.032104,158.47409,53.0631,252.50037,738.9503,925.89496,1298.318
Germany,DEU,2013,145.49602,31.311943,83.45502,143.73036,62.679157,254.44252,849.74335,963.3986,1334.2625
Germany,DEU,2012,137.97963,34.992554,73.330315,141.70322,59.650803,261.69418,811.1005,936.07416,1305.3893
Germany,DEU,2011,117.81337,32.84833,55.148262,137.53824,48.748184,285.82077,808.6072,910.7911,1313.2709
Germany,DEU,2010,108.36611,31.542221,33.204247,106.990234,58.1567,374.36166,880.71246,896.1722,1357.6443
Germany,DEU,2000,10.853495,2.5692632,0,28.091396,73.62903,481.25955,829.24585,992.09576,1570.4348
Germany,DEU,1966,,,,,51.84784,0.7519414,37.22992,1745.3394,1141.8322
Germany,DEU,1968,,,,,49.97013,5.011051,78.86974,1705.4391,1331.1227
Germany,DEU,1967,,,,,49.240704,3.4759557,47.988647,1681.3043,1187.4216
Germany,DEU,1965,,,,,47.939327,0.33198917,30.975672,1869.4764,1020.56976
Germany,DEU,1969,,,,,40.550602,14.008811,112.316376,1755.9604,1496.9418
India,IND,2015,97.7368,14.423827,17.683079,88.17162,358.92618,98.992966,478.0684,4490.47,2277.9543
India,IND,2018,86.904854,20.400928,96.122734,159.5672,369.7484,99.14305,579.96277,4981.6016,2688.0571
India,IND,2003,8.65898,7.9651065,0.046870552,7.553315,200.96754,50.48722,284.26898,2107.9834,1336.1466
India,IND,2017,79.51202,15.23083,57.33638,140.06178,361.46524,95.54765,535.9986,4737.1567,2571.897
India,IND,2016,79.22082,17.313034,30.935793,116.32454,343.6824,97.354065,507.90982,4587.692,2498.029
India,IND,2014,78.77083,13.584625,13.298961,90.6326,376.55457,90.17042,485.01566,4401.073,2107.8127
India,IND,2013,71.754364,12.048718,9.3563595,81.7827,359.70886,87.11104,490.193,4009.7288,2051.2622
